id,mild_injuries,serious_injuries,victims,vehicles_involved,longitude,latitude,date
2017S000534,1,0,1,2,2.204645,41.405173,2017-01-20 11:00:00
2017S005642,2,0,2,2,2.200672,41.406603000000004,2017-06-28 18:00:00
2017S005989,1,0,1,2,2.209245,41.408483000000004,2017-07-10 07:00:00
2017S005637,1,0,1,2,2.204568,41.398539,2017-06-28 16:00:00
2017S005474,1,0,1,1,2.195812,41.405776,2017-06-22 18:00:00
2017S007667,1,0,1,1,2.2024049999999997,41.406853999999996,2017-09-16 13:00:00
2017S008320,0,1,1,3,2.202379,41.407029,2017-10-09 12:00:00
2017S001792,1,0,1,2,2.1973540000000003,41.402361,2017-03-04 16:00:00
2017S008268,1,0,1,2,2.204222,41.407219,2017-10-07 00:00:00
2017S006175,2,0,2,2,2.199468,41.402427,2017-07-14 19:00:00
2017S000946,1,0,1,3,2.204611,41.393827,2017-02-03 21:00:00
2017S001678,1,0,1,2,2.202318,41.392396999999995,2017-03-01 08:00:00
2017S005626,1,0,1,2,2.1868689999999997,41.393128999999995,2017-06-28 11:00:00
2017S003754,0,0,0,3,2.191552,41.401556,2017-04-27 18:00:00
2017S005137,2,0,2,3,2.188609,41.393817999999996,2017-06-12 12:00:00
2017S003489,1,0,1,1,2.189987,41.405383,2017-04-19 13:00:00
2017S006012,1,0,1,1,2.18432,41.392708,2017-07-11 07:00:00
2017S001937,1,0,1,2,2.186871,41.394758,2017-03-09 17:00:00
2017S006522,1,0,1,1,2.190907,41.398854,2017-07-26 13:00:00
2017S004081,0,0,0,2,2.1841150000000003,41.391669,2017-05-08 18:00:00
2017S000565,1,0,1,2,2.1907389999999998,41.392225,2017-01-21 01:00:00
2017S000227,1,0,1,2,2.192754,41.395653,2017-01-10 14:00:00
2017S010231,0,0,0,1,2.184946,41.390356,2017-12-10 16:00:00
2017S004373,2,0,2,2,2.191388,41.393105,2017-05-17 10:00:00
2017S005045,1,0,1,2,2.18928,41.398194000000004,2017-06-09 08:00:00
2017S006979,2,0,2,1,2.186859,41.391505,2017-08-14 17:00:00
2017S006050,2,0,2,2,2.186859,41.391505,2017-07-12 01:00:00
2017S009039,1,0,1,3,2.1869389999999997,41.398140000000005,2017-11-02 08:00:00
2017S008474,3,0,3,2,2.187401,41.404472,2017-10-15 01:00:00
2017S003563,1,0,1,2,2.209741,41.399442,2017-04-21 13:00:00
2017S007929,1,0,1,3,2.214286,41.402570000000004,2017-09-25 15:00:00
2017S004368,2,0,2,3,2.189987,41.405383,2017-05-17 09:00:00
2017S000448,1,0,1,2,2.1903669999999997,41.404181,2017-01-17 12:00:00
2017S006223,2,0,2,2,2.209291,41.400166,2017-07-17 12:00:00
2017S009694,1,0,1,2,2.2099900000000003,41.400934,2017-11-22 08:00:00
2017S005920,1,0,1,2,2.217355,41.409017,2017-07-07 10:00:00
2017S006671,3,0,3,2,2.194795,41.399097999999995,2017-08-01 20:00:00
2017S010364,1,0,1,2,2.214286,41.402570000000004,2017-12-14 19:00:00
2017S006667,1,0,1,2,2.214286,41.402570000000004,2017-08-01 19:00:00
2017S005521,1,0,1,2,2.21453,41.404462,2017-06-24 17:00:00
